rep_date,ws,wg,wdir
2025-06-10 00:00:00,30.0,,332
2025-06-10 01:00:00,34.8,,341
2025-06-10 02:00:00,27.6,,344
2025-06-10 03:00:00,17.8,,345
2025-06-10 04:00:00,16.8,,350
2025-06-10 05:00:00,12.2,,352
2025-06-10 06:00:00,11.0,,351
2025-06-10 07:00:00,11.0,,352
2025-06-10 08:00:00,9.2,,349
2025-06-10 09:00:00,8.4,,335
2025-06-10 10:00:00,8.7,,328
2025-06-10 11:00:00,8.7,,330
2025-06-10 12:00:00,8.0,,349
2025-06-10 13:00:00,5.3,,311
2025-06-10 14:00:00,2.9,,282
2025-06-10 15:00:00,5.3,,285
2025-06-10 16:00:00,4.4,,312
2025-06-10 17:00:00,8.7,,322
2025-06-10 18:00:00,6.3,,346
2025-06-10 19:00:00,8.9,,296
2025-06-10 20:00:00,10.3,,328
2025-06-10 21:00:00,15.1,,329
2025-06-10 22:00:00,13.6,,311
2025-06-10 23:00:00,7.8,,276
2025-06-11 00:00:00,11.9,,303
2025-06-11 01:00:00,6.5,,356
2025-06-11 02:00:00,13.7,,14
2025-06-11 03:00:00,17.6,,32
2025-06-11 04:00:00,14.1,,25
2025-06-11 05:00:00,13.3,,53
2025-06-11 06:00:00,15.1,,38
2025-06-11 07:00:00,12.8,,57
2025-06-11 08:00:00,9.2,,5
2025-06-11 09:00:00,7.3,,50
2025-06-11 10:00:00,8.8,,4
2025-06-11 11:00:00,8.2,,8
2025-06-11 12:00:00,8.7,,65
2025-06-11 13:00:00,5.3,,82
2025-06-11 14:00:00,10.0,,77
2025-06-11 15:00:00,10.8,,116
2025-06-11 16:00:00,11.1,,67
2025-06-11 17:00:00,13.6,,72
2025-06-11 18:00:00,12.6,,55
2025-06-11 19:00:00,14.4,,50
2025-06-11 20:00:00,15.4,,51
2025-06-11 21:00:00,14.0,,60
2025-06-11 22:00:00,20.8,,75
2025-06-11 23:00:00,23.3,,69
2025-06-12 00:00:00,24.9,,56
2025-06-12 01:00:00,24.8,,56
2025-06-12 02:00:00,28.5,,64
2025-06-12 03:00:00,24.2,,59
2025-06-12 04:00:00,15.4,,62
2025-06-12 05:00:00,15.9,,65
2025-06-12 06:00:00,18.5,,80
2025-06-12 07:00:00,18.4,,91
2025-06-12 08:00:00,18.1,,100
2025-06-12 09:00:00,19.8,,95
2025-06-12 10:00:00,17.0,,93
2025-06-12 11:00:00,17.5,,79
2025-06-12 12:00:00,20.7,,99
2025-06-12 13:00:00,19.9,,95
2025-06-12 14:00:00,21.8,,99
2025-06-12 15:00:00,21.6,,89
2025-06-12 16:00:00,24.9,,93
2025-06-12 17:00:00,28.0,,93
2025-06-12 18:00:00,29.3,,97
2025-06-12 19:00:00,26.1,,118
2025-06-12 20:00:00,23.0,,112
2025-06-12 21:00:00,23.9,,104
2025-06-12 22:00:00,22.5,,98
2025-06-12 23:00:00,18.2,,109
2025-06-13 00:00:00,10.5,,114
2025-06-13 01:00:00,16.0,,122
2025-06-13 02:00:00,18.1,,117
2025-06-13 03:00:00,25.3,,135
2025-06-13 04:00:00,20.9,,141
2025-06-13 05:00:00,17.1,,135
2025-06-13 06:00:00,16.3,,113
2025-06-13 07:00:00,,,
2025-06-13 08:00:00,22.0,,111
2025-06-13 09:00:00,24.5,,106
2025-06-13 10:00:00,19.7,,105
2025-06-13 11:00:00,18.9,,112
2025-06-13 12:00:00,19.7,,123
2025-06-13 13:00:00,27.3,,139
2025-06-13 14:00:00,26.3,,130
2025-06-13 15:00:00,18.2,,127
2025-06-13 16:00:00,21.7,,132
2025-06-13 17:00:00,18.6,,135
2025-06-13 18:00:00,17.4,,131
2025-06-13 19:00:00,17.1,,112
2025-06-13 20:00:00,14.4,,113
2025-06-13 21:00:00,13.2,,95
2025-06-13 22:00:00,14.7,,84
2025-06-13 23:00:00,14.5,,105
